"indicationgroupid","indicationid"
"260","16464"
"260","16764"
"260","20483"
"260","20493"
"260","32184"
"260","32194"
"260","32254"
"260","32274"
"260","32684"
"260","38784"
"260","44134"
"260","57574"
"260","57584"
"260","58044"
"260","68154"
"260","68754"
"260","69064"
"260","69074"
"260","69094"
"260","72204"
"260","72214"
"260","72374"
"260","72404"
"260","72414"
"260","72424"
"260","72434"
"260","72444"
"260","72454"
"260","72494"
"260","72574"
"260","72904"
"260","74694"
"260","74704"
"260","75044"
"260","75054"
"260","75754"
"260","78234"
"260","79614"
"260","79714"
"260","79724"
"260","80214"
"260","80664"
"260","82384"
"260","82424"
"260","82644"
"260","86054"
"260","92244"
"261","11424"
"261","13764"
"261","25664"
"261","27064"
"261","30874"
"261","31554"
"261","71324"
"262","3233"
"262","19284"
"262","19294"
"262","31534"
"262","36154"
"262","39784"
"262","44384"
"262","61424"
"262","62544"
"262","64014"
"262","70174"
"262","72044"
"262","81914"
"262","81984"
"262","81994"
"263","1331"
"263","2051"
"263","10564"
"263","28544"
"263","32364"
"263","32644"
"263","60474"
"263","65864"
"263","82254"
"263","82264"
"264","4464"
"264","10534"
"264","32474"
"264","61824"
"264","70594"
"264","87564"
"265","32384"
"265","32734"
"265","35114"
"265","71504"
"265","74844"
"265","79654"
"265","89244"
"266","2244"
"266","2284"
"266","14784"
"266","25923"
"266","75084"
"266","87914"
"266","87924"
"267","8414"
"267","12094"
"267","27784"
"267","29974"
"267","31574"
"267","63444"
"267","82614"
"268","16934"
"268","17144"
"268","17384"
"268","17924"
"268","18064"
"268","18174"
"268","18194"
"268","18234"
"268","18264"
"268","18384"
"268","18484"
"268","18644"
"268","18654"
"268","18664"
"268","18804"
"268","18834"
"268","25934"
"268","25944"
"268","25954"
"268","25964"
"268","25974"
"268","25984"
"268","25994"
"268","26004"
"268","26024"
"268","26034"
"268","26044"
"268","26054"
"268","26094"
"268","26214"
"268","28844"
"268","28984"
"268","41134"
"268","41144"
"268","41164"
"268","41174"
"268","41194"
"268","41204"
"268","41214"
"268","41264"
"268","41274"
"268","41284"
"268","41304"
"268","41614"
"268","41724"
"268","41774"
"268","41784"
"268","41794"
"268","41804"
"268","41814"
"268","41824"
"268","41834"
"268","41954"
"268","41964"
"268","44814"
"268","44944"
"268","57474"
"268","58254"
"268","59214"
"268","59244"
"268","59494"
"268","59984"
"268","60004"
"268","60014"
"268","60044"
"268","60134"
"268","60284"
"268","60614"
"268","64504"
"268","65874"
"268","68674"
"268","69574"
"268","69584"
"268","71454"
"268","71754"
"268","71764"
"268","71774"
"268","71784"
"268","71814"
"268","75654"
"268","77434"
"268","79784"
"268","84014"
"268","84024"
"268","87324"
"268","87604"
"268","88634"
"268","89574"
"268","89594"
"268","89604"
"268","89764"
"268","89774"
"268","89784"
"268","89794"
"269","9353"
"269","12474"
"269","12484"
"269","21744"
"269","36894"
"269","68574"
"269","70794"
"269","75734"
"269","78504"
"269","79514"
"269","82484"
"269","83434"
"269","83444"
"269","87724"
"269","87904"
"269","88064"
"269","90304"
"271","3844"
"271","78974"
"272","12064"
"272","15434"
"272","30584"
"272","38304"
"272","39914"
"272","63494"
"272","63564"
"272","64154"
"272","65384"
"272","71264"
"272","74934"
"272","74944"
"272","74954"
"272","75964"
"272","75974"
"272","78004"
"272","79544"
"272","79904"
"272","82064"
"272","86494"
"272","88684"
"272","88694"
"273","13564"
"273","74094"
"274","13204"
"274","61834"
"274","75004"
"276","4474"
"276","10824"
"276","12543"
"276","32484"
"276","43254"
"276","43264"
"276","79074"
"276","80494"
"276","81504"
"276","82974"
"276","84414"
"276","86744"
"276","88394"
"276","88404"
"278","2514"
"278","78664"
"278","81324"
"279","1804"
"279","13904"
"279","14784"
"279","22863"
"279","28544"
"279","28584"
"279","36104"
"279","76674"
"279","79734"
"279","79824"
"279","87594"
"282","14174"
"282","15464"
"282","32684"
"282","36034"
"282","43844"
"282","63694"
"282","67774"
"282","69084"
"282","72194"
"282","72464"
"282","72474"
"282","72484"
"282","72874"
"282","72884"
"282","72894"
"282","74594"
"282","75164"
"282","82654"
"282","82664"
"282","86394"
"282","91374"
"284","28574"
"284","34674"
"284","39164"
"284","39194"
"284","39214"
"284","39354"
"284","68884"
"284","72094"
"284","74204"
"285","5691"
"285","37684"
"285","38304"
"285","38324"
"285","38344"
"285","40174"
"285","73784"
"285","79904"
"285","91804"
"287","21394"
"287","59094"
"287","80874"
"288","6334"
"289","3964"
"289","5031"
"289","29174"
"289","32884"
"289","70194"
"289","70454"
"289","72694"
"289","72714"
"289","76994"
"289","87894"
"290","1624"
"290","6044"
"290","24904"
"290","29254"
"290","32874"
"290","45034"
"290","59434"
"290","60884"
"290","60894"
"290","61894"
"290","68284"
"290","71394"
"290","83494"
"291","4534"
"291","32994"
"291","36734"
"291","58804"
"291","70964"
"291","72144"
"291","74494"
"291","76634"
"291","79084"
"291","80144"
"291","84804"
"291","86214"
"291","87964"
"291","88484"
"291","89284"
"293","10504"
"293","41694"
"294","32884"
"294","59434"
"294","72694"
"295","23264"
"295","23364"
"295","23394"
"295","37694"
"295","38444"
"295","38454"
"295","38464"
"295","38474"
"295","38484"
"295","39564"
"295","43614"
"295","44374"
"295","44834"
"295","44844"
"295","53631"
"295","58334"
"295","68124"
"295","69894"
"295","71834"
"295","71844"
"295","72034"
"295","76024"
"295","79454"
"295","81084"
"295","90124"
"295","91724"
"295","91734"
"296","5251"
"296","31394"
"297","1624"
"297","18383"
"297","24904"
"300","34314"
"302","3743"
"302","7364"
"302","32654"
"302","69394"
"302","69404"
"302","74104"
"302","78114"
"302","86164"
"303","32404"
"303","44294"
"303","78664"
"303","86844"
"304","9503"
"304","17683"
"304","25923"
"304","32914"
"304","32924"
"304","32934"
"304","86344"
"304","86354"
"304","86364"
"305","2814"
"305","12024"
"305","12034"
"305","12184"
"305","15994"
"305","37554"
"305","39954"
"305","39964"
"305","39974"
"305","39984"
"305","72554"
"305","88184"
"306","824"
"306","39034"
"306","58664"
"306","58674"
"306","58684"
"306","69024"
"306","69034"
"306","92124"
"307","21934"
"307","21944"
"307","33964"
"307","36874"
"307","41044"
"307","80644"
"307","82914"
"308","10554"
"308","14994"
"309","23304"
"310","32954"
"310","86334"
"311","33094"
"312","604"
"312","26144"
"312","33164"
"312","33194"
"312","33284"
"312","33294"
"312","33304"
"312","33314"
"312","37354"
"312","40624"
"312","62214"
"312","62234"
"312","66434"
"312","68344"
"312","69544"
"312","73664"
"312","75904"
